nr,company,location_hq,region,usstate,country,continent,laid_off,date_layoffs,percentage,company_size_before_layoffs,company_size_after_layoffs,industry,stage,money_raised_in__mil,year,latitude,longitude
2001,Lightspeed Commerce,Montreal,,,Canada,North America,200.0,02.12.24,,,,Retail,Post-IPO,"$1,200",2024,"45,5031824","-73,5698065"
2002,Klub,Bengaluru,,,India,Asia,60.0,29.11.24,,,,Finance,Unknown,$35,2024,"12,98815675","77,62260004"
2003,AlphaSense,New York City,,New York,USA,North America,150.0,27.11.24,8,1875.0,1725.0,Other,Series F,"$1,400",2024,"40,7127281","-74,0060152"
2005,Ola Electric,Bengaluru,,,India,Asia,500.0,22.11.24,,,,Transportation,Post-IPO,"$1,700",2024,"12,98815675","77,62260004"
2006,Adjust,Berlin,,Berlin,Germany,Europe,304.0,22.11.24,,,,Marketing,Acquired,$256,2024,"52,5170365","13,3888599"
2008,LinkedIn,Sunnyvale,San Francisco Bay Area,California,USA,North America,202.0,21.11.24,1,20200.0,19998.0,Recruiting,Acquired,$154,2024,"37,3688301","-122,036349"
2011,TrueLayer,London,,,UK,Europe,71.0,15.11.24,25,284.0,213.0,Finance,Series E,$321,2024,"51,4893335","-0,144055085"
2012,Kuku FM,Mumbai,,,India,Asia,80.0,14.11.24,,,,Media,Series C,$71,2024,"19,0785451","72,878176"
2013,AMD,Santa Clara,San Francisco Bay Area,California,USA,North America,1000.0,13.11.24,4,25000.0,24000.0,Hardware,Post-IPO,,2024,"37,354107","-121,955238"
2014,AppLovin,Palo Alto,San Francisco Bay Area,California,USA,North America,120.0,13.11.24,,,,Marketing,Post-IPO,"$1,600",2024,"37,4443293","-122,1598465"
2015,Chegg,Santa Clara,San Francisco Bay Area,California,USA,North America,31.0,12.11.24,21,148.0,117.0,Education,Post-IPO,$227,2024,"37,354107","-121,955238"
2016,Forward,San Francisco,San Francisco Bay Area,California,USA,North America,200.0,12.11.24,100,200.0,,Healthcare,Series E,$325,2024,"37,7792588","-122,4193286"
2017,Lyra Health,Burlingame,San Francisco Bay Area,California,USA,North America,77.0,12.11.24,2,3850.0,3773.0,Healthcare,Series F,$ 10,2024,"37,5780965","-122,3473099"
2020,Enphase Energy,Fremont,San Francisco Bay Area,California,USA,North America,500.0,11.11.24,17,2941.0,2441.0,Energy,Post-IPO,$116,2024,"37,5482697","-121,988571"
2021,23andMe,San Francisco,San Francisco Bay Area,California,USA,North America,200.0,11.11.24,40,500.0,300.0,Healthcare,Post-IPO,"$1,100",2024,"37,7792588","-122,4193286"
2022,Sword Health,New York City,,New York,USA,North America,13.0,11.11.24,,,,Healthcare,Unknown,$450,2024,"40,7127281","-74,0060152"
2023,Monarch Tractor,Livermore,San Francisco Bay Area,California,USA,North America,35.0,08.11.24,10,350.0,315.0,Other,Unknown,$214,2024,"37,68402337","-121,7712919"
2027,Freshworks,San Mateo,San Francisco Bay Area,California,USA,North America,660.0,07.11.24,13,5077.0,4417.0,Support,Post-IPO,$484,2024,"37,496904","-122,3330573"
2028,Just Eat,Amsterdam,,,Netherlands,Europe,300.0,07.11.24,2,15000.0,14700.0,Food,Acquired,$12 ,2024,"52,3730796","4,8924534"
2029,Opendoor,San Francisco,San Francisco Bay Area,California,USA,North America,300.0,07.11.24,17,1765.0,1465.0,Real Estate,Post-IPO,"$1, 00",2024,"37,7792588","-122,4193286"
2030,Akamai,Boston,,Massachusetts,USA,North America,250.0,07.11.24,2,12500.0,12250.0,Security,Post-IPO,$35,2024,"42,3554334","-71,060511"
2031,ShareFile,Raleigh,,North Carolina,USA,North America,1.0,07.11.24,,,,Other,Acquired,,2024,"35,7803977","-78,6390989"
2032,Personio,Munich,,Bayern,Germany,Europe,115.0,07.11.24,6,1917.0,1802.0,HR,Series E,$724,2024,"48,1371079","11,5753822"
2033,iRobot,Boston,,Massachusetts,USA,North America,105.0,06.11.24,16,656.0,551.0,Consumer,Post-IPO,$30,2024,"42,3554334","-71,060511"
2034,Outreach,Seattle,,Washington,USA,North America,67.0,06.11.24,,,,Sales,Series G,$48 ,2024,"47,6038321","-122,330062"
2037,Incredibuild,Tel Aviv,,,Israel,Asia,18.0,04.11.24,11,164.0,146.0,Product,Acquired,$35,2024,"32,0852997","34,7818064"
2038,Atera,Tel Aviv,,,Israel,Asia,20.0,03.11.24,6,333.0,313.0,Other,Series B,$102,2024,"32,0852997","34,7818064"
2039,Maven Clinic,New York City,,New York,USA,North America,60.0,01.11.24,10,600.0,540.0,Healthcare,Series F,$417,2024,"40,7127281","-74,0060152"
2042,Dropbox,San Francisco,San Francisco Bay Area,California,USA,North America,527.0,30.10.24,20,2635.0,2108.0,Other,Post-IPO,"$1,700",2024,"37,7792588","-122,4193286"
2043,Kraken,San Francisco,San Francisco Bay Area,California,USA,North America,400.0,30.10.24,15,2667.0,2267.0,Crypto,Unknown,$134,2024,"37,7792588","-122,4193286"
2044,Miro,San Francisco,San Francisco Bay Area,California,USA,North America,275.0,30.10.24,18,1528.0,1253.0,Other,Series C,$476,2024,"37,7792588","-122,4193286"
